out_frame,src_frame,loop,brightness_gain,brightness_bias,noise_sigma,gaussian_blur,motion_blur,shake_dx,shake_dy,target_occluders,distractor_people,blue_distractors,protected_waypoint_window
141,141,0,0.9796,-0.23,5.98,0,0,0.00,0.00,0,0,0,0
142,142,0,0.9839,-1.10,5.98,0,0,0.00,0.00,0,0,0,0
143,143,0,0.9840,-0.85,5.98,0,0,0.00,0.00,0,0,0,0
144,144,0,0.9744,-1.38,5.98,0,0,0.00,0.00,0,0,0,0
145,145,0,0.9844,-1.51,5.98,0,0,0.00,0.00,0,0,0,0
146,146,0,0.9754,-1.09,5.98,0,0,0.00,0.00,0,0,0,0
147,147,0,0.9877,-2.83,5.98,0,0,0.00,0.00,0,0,0,0
148,148,0,0.9797,-1.68,5.98,0,0,0.00,0.00,0,0,0,0
149,149,0,0.9711,-1.30,5.98,0,0,0.00,0.00,0,0,0,0
150,150,0,0.9721,-1.97,5.98,0,0,0.00,0.00,0,0,0,0
151,151,0,0.9808,-1.09,5.98,0,0,0.00,0.00,0,0,0,0
152,152,0,0.9766,-1.21,5.98,0,0,0.00,0.00,0,0,0,0
153,153,0,0.9724,-1.69,5.98,0,0,0.00,0.00,0,0,0,0
154,154,0,0.9841,-1.95,5.98,0,0,0.00,0.00,0,0,0,0
155,155,0,0.9737,-2.09,5.98,0,0,0.00,0.00,0,0,0,0
156,156,0,0.9698,-1.66,5.98,0,0,0.00,0.00,0,0,0,0
157,157,0,0.9685,-2.44,5.98,0,0,0.00,0.00,0,0,0,0
158,158,0,0.9770,-2.63,5.98,0,0,0.00,0.00,0,0,0,0
159,159,0,0.9687,-3.16,5.98,0,0,0.00,0.00,0,0,0,0
160,160,0,0.9684,-2.28,5.98,0,0,0.00,0.00,0,0,0,0
161,161,0,0.9706,-2.18,5.98,0,0,0.00,0.00,0,0,0,0
162,162,0,0.9784,-2.11,5.98,0,0,0.00,0.00,0,0,0,0
163,163,0,0.9643,-2.42,5.98,0,0,0.00,0.00,0,0,0,0
164,164,0,0.9754,-1.71,5.98,0,0,0.00,0.00,0,0,0,0
165,165,0,0.9705,-2.21,5.98,0,0,0.00,0.00,0,0,0,0
166,166,0,0.9792,-1.84,5.98,0,0,0.00,0.00,0,0,0,0
167,167,0,0.9657,-2.08,5.98,0,0,0.00,0.00,0,0,0,0
168,168,0,0.9791,-1.52,5.98,0,0,0.00,0.00,0,0,0,0
169,169,0,0.9774,-2.68,5.98,0,0,0.00,0.00,0,0,0,0
170,170,0,0.9637,-1.92,5.98,0,0,0.00,0.00,0,0,0,0
171,171,0,0.9704,-2.67,5.98,0,0,0.00,0.00,0,0,0,0
172,172,0,0.9716,-2.47,5.98,0,0,0.00,0.00,0,0,0,0
173,173,0,0.9753,-2.99,5.98,0,0,0.00,0.00,0,0,0,0
174,174,0,0.9702,-2.95,5.98,0,0,0.00,0.00,0,0,0,0
175,175,0,0.9712,-3.22,5.98,0,0,0.00,0.00,0,0,0,0
176,176,0,0.9673,-3.67,5.98,0,0,0.00,0.00,0,0,0,0
177,177,0,0.9750,-2.49,5.98,0,0,0.00,0.00,0,0,0,0
178,178,0,0.9728,-2.61,5.98,0,0,0.00,0.00,0,0,0,0
179,179,0,0.9743,-2.16,5.98,0,0,0.00,0.00,0,0,0,0
180,180,0,0.9630,-2.40,5.98,0,0,0.00,0.00,0,0,0,0
181,181,0,0.9721,-2.46,5.98,0,0,0.00,0.00,0,0,0,0
182,182,0,0.9663,-2.58,5.98,0,0,0.00,0.00,0,0,0,0
183,183,0,0.9624,-1.95,5.98,0,0,0.00,0.00,0,0,0,0
184,184,0,0.9677,-2.85,5.98,0,0,0.00,0.00,0,0,0,0
185,185,0,0.9728,-2.10,5.98,0,0,0.00,0.00,0,0,0,0
186,186,0,0.9752,-2.69,5.98,0,0,0.00,0.00,0,0,0,0
187,187,0,0.9816,-2.06,4.00,0,0,0.00,0.00,0,0,0,1
188,188,0,0.9787,-0.93,4.00,0,0,0.00,0.00,0,0,0,1
189,189,0,0.9827,-1.11,4.00,0,0,0.00,0.00,0,0,0,1
190,190,0,0.9777,-1.40,4.00,0,0,0.00,0.00,0,0,0,1
191,191,0,0.9829,-1.73,4.00,0,0,0.00,0.00,0,0,0,1
192,192,0,0.9834,-2.19,4.00,0,0,0.00,0.00,0,0,0,1
193,193,0,0.9883,-2.03,4.00,0,0,0.00,0.00,0,0,0,1
194,194,0,0.9796,-2.09,4.00,0,0,0.00,0.00,0,0,0,1
195,195,0,0.9835,-2.12,4.00,0,0,0.00,0.00,0,0,0,1
196,196,0,0.9831,-1.84,4.00,0,0,0.00,0.00,0,0,0,1
197,197,0,0.9861,-2.00,4.00,0,0,0.00,0.00,0,0,0,1
198,198,0,0.9862,-1.63,4.00,0,0,0.00,0.00,0,0,0,1
199,199,0,0.9822,-1.70,4.00,0,0,0.00,0.00,0,0,0,1
200,200,0,0.9850,-1.83,4.00,0,0,0.00,0.00,0,0,0,1
201,201,0,0.9852,-1.81,4.00,0,0,0.00,0.00,0,0,0,1
202,202,0,0.9835,-2.06,4.00,0,0,0.00,0.00,0,0,0,1
203,203,0,0.9897,-2.90,4.00,0,0,0.00,0.00,0,0,0,1
204,204,0,0.9809,-3.20,5.98,0,0,0.00,0.00,0,0,0,0
205,205,0,0.9774,-2.58,5.98,0,0,0.00,0.00,0,0,0,0
206,206,0,0.9792,-3.89,5.98,0,0,0.00,0.00,0,0,0,0
207,207,0,0.9829,-2.81,5.98,0,0,0.00,0.00,0,0,0,0
208,208,0,0.9846,-3.17,5.98,0,0,0.00,0.00,0,0,0,0
209,209,0,0.9934,-3.39,5.98,0,0,0.00,0.00,0,0,0,0
210,210,0,0.9859,-4.22,5.98,0,0,0.00,0.00,0,0,0,0
211,211,0,0.9806,-2.83,5.98,0,0,0.00,0.00,0,0,0,0
212,212,0,0.9810,-2.86,5.98,0,0,0.00,0.00,0,0,0,0
213,213,0,0.9843,-3.74,5.98,0,0,0.00,0.00,0,0,0,0
214,214,0,0.9884,-2.92,5.98,0,0,0.00,0.00,0,0,0,0
215,215,0,0.9981,-3.76,5.98,0,0,0.00,0.00,0,0,0,0
216,216,0,0.9920,-3.04,5.98,0,0,0.00,0.00,0,0,0,0
217,217,0,0.9966,-2.10,5.98,0,0,0.00,0.00,0,0,0,0
218,218,0,0.9866,-4.46,5.98,0,0,0.00,0.00,0,0,0,0
219,219,0,0.9911,-2.77,5.98,0,0,0.00,0.00,0,0,0,0
220,220,0,0.9970,-2.75,5.98,0,0,0.00,0.00,0,0,0,0
221,221,0,0.9959,-2.79,5.98,0,0,0.00,0.00,0,0,0,0
222,222,0,0.9901,-3.94,5.98,0,0,0.00,0.00,0,0,0,0
223,223,0,0.9904,-2.54,5.98,0,0,0.00,0.00,0,0,0,0
224,224,0,0.9853,-3.65,5.98,0,0,0.00,0.00,0,0,0,0
225,225,0,0.9977,-3.54,5.98,0,0,0.00,0.00,0,0,0,0
226,226,0,0.9923,-2.74,5.98,0,0,0.00,0.00,0,0,0,0
227,227,0,1.0023,-3.39,5.98,0,0,0.00,0.00,0,0,0,0
228,228,0,0.9948,-3.42,5.98,0,0,0.00,0.00,0,0,0,0
229,229,0,1.0035,-2.87,5.98,0,0,0.00,0.00,0,0,0,0
230,230,0,0.9974,-3.25,5.98,0,0,0.00,0.00,0,0,0,0
231,231,0,0.9962,-3.55,5.98,0,0,0.00,0.00,0,0,0,0
232,232,0,1.0015,-3.03,5.98,0,0,0.00,0.00,0,0,0,0
233,233,0,0.9924,-2.44,5.98,0,0,0.00,0.00,0,0,0,0
234,234,0,1.0067,-3.83,5.98,0,0,0.00,0.00,0,0,0,0
235,235,0,1.0040,-3.57,5.98,0,0,0.00,0.00,0,0,0,0
236,236,0,0.9959,-4.35,5.98,0,0,0.00,0.00,0,0,0,0
237,237,0,0.9980,-2.09,5.98,0,0,0.00,0.00,0,0,0,0
238,238,0,1.0019,-3.58,5.98,0,0,0.00,0.00,0,0,0,0
239,239,0,1.0091,-3.02,5.98,0,0,0.00,0.00,0,0,0,0
240,240,0,1.0061,-3.91,5.98,0,0,0.00,0.00,0,0,0,0
241,241,0,1.0122,-3.35,5.98,0,0,0.00,0.00,0,0,0,0
242,242,0,1.0034,-3.63,5.98,0,0,0.00,0.00,0,0,0,0
243,243,0,1.0091,-3.25,5.98,0,0,0.00,0.00,0,0,0,0
244,244,0,1.0021,-3.12,5.98,0,0,0.00,0.00,0,0,0,0
245,245,0,1.0102,-3.37,5.98,0,0,0.00,0.00,0,0,0,0
246,246,0,1.0112,-3.83,5.98,0,0,0.00,0.00,0,0,0,0
247,247,0,1.0141,-3.88,5.98,0,0,0.00,0.00,0,0,0,0
248,248,0,1.0004,-2.19,5.98,0,0,0.00,0.00,0,0,0,0
249,249,0,1.0093,-2.78,5.98,0,0,0.00,0.00,0,0,0,0
250,250,0,1.0128,-3.03,5.98,0,0,0.00,0.00,0,0,0,0
251,251,0,1.0117,-3.45,5.98,0,0,0.00,0.00,0,0,0,0
252,252,0,1.0211,-2.24,5.98,0,0,0.00,0.00,0,0,0,0
253,253,0,1.0181,-3.47,5.98,0,0,0.00,0.00,0,0,0,0
254,254,0,1.0230,-2.50,5.98,0,0,0.00,0.00,0,0,0,0
255,255,0,1.0112,-2.16,5.98,0,0,0.00,0.00,0,0,0,0
256,256,0,1.0191,-3.05,5.98,0,0,0.00,0.00,0,0,0,0
257,257,0,1.0180,-3.15,5.98,0,0,0.00,0.00,0,0,0,0
258,258,0,1.0134,-2.68,5.98,0,0,0.00,0.00,0,0,0,0
259,259,0,1.0156,-3.61,5.98,0,0,0.00,0.00,0,0,0,0
260,260,0,1.0192,-4.13,5.98,0,0,0.00,0.00,0,0,0,0
261,261,0,1.0155,-3.32,5.98,0,0,0.00,0.00,0,0,0,0
262,262,0,1.0187,-3.85,5.98,0,0,0.00,0.00,0,0,0,0
263,263,0,1.0232,-3.71,5.98,0,0,0.00,0.00,0,0,0,0
264,264,0,1.0209,-2.74,5.98,0,0,0.00,0.00,0,0,0,0
265,265,0,1.0226,-2.95,5.98,0,0,0.00,0.00,0,0,0,0
266,266,0,1.0196,-2.75,5.98,0,0,0.00,0.00,0,0,0,0
267,267,0,1.0229,-2.66,5.98,0,0,0.00,0.00,0,0,0,0
268,268,0,1.0278,-4.11,5.98,0,0,0.00,0.00,0,0,0,0
269,269,0,1.0197,-3.43,5.98,0,0,0.00,0.00,0,0,0,0
270,270,0,1.0187,-2.99,5.98,0,0,0.00,0.00,0,0,0,0
271,271,0,1.0245,-3.76,5.98,0,0,0.00,0.00,0,0,0,0
272,272,0,1.0196,-2.66,5.98,0,0,0.00,0.00,0,0,0,0
273,273,0,1.0248,-3.58,5.98,0,0,0.00,0.00,0,0,0,0
274,274,0,1.0283,-1.67,5.98,0,0,0.00,0.00,0,0,0,0
275,275,0,1.0290,-2.15,5.98,0,0,0.00,0.00,0,0,0,0
276,276,0,1.0244,-2.90,5.98,0,0,0.00,0.00,0,0,0,0
277,277,0,1.0231,-2.98,5.98,0,0,0.00,0.00,0,0,0,0
278,278,0,1.0280,-2.85,5.98,0,0,0.00,0.00,0,0,0,0
279,279,0,1.0240,-1.73,5.98,0,0,0.00,0.00,0,0,0,0
280,280,0,1.0209,-2.63,5.98,0,0,0.00,0.00,0,0,0,0
281,281,0,1.0352,-2.50,5.98,0,0,0.00,0.00,0,0,0,0
282,282,0,1.0301,-2.65,5.98,0,0,0.00,0.00,0,0,0,0
283,283,0,1.0363,-2.94,5.98,0,0,0.00,0.00,0,0,0,0
284,284,0,1.0269,-3.19,5.98,0,0,0.00,0.00,0,0,0,0
285,285,0,1.0287,-2.58,5.98,0,0,0.00,0.00,0,0,0,0
286,286,0,1.0348,-3.39,5.98,0,0,0.00,0.00,0,0,0,0
287,287,0,1.0306,-3.43,5.98,0,0,0.00,0.00,0,0,0,0
288,288,0,1.0274,-3.36,5.98,0,0,0.00,0.00,0,0,0,0
289,289,0,1.0249,-1.71,5.98,0,0,0.00,0.00,0,0,0,0
290,290,0,1.0298,-2.72,5.98,0,0,0.00,0.00,0,0,0,0
291,291,0,1.0290,-1.66,5.98,0,0,0.00,0.00,0,0,0,0
292,292,0,1.0209,-3.02,5.98,0,0,0.00,0.00,0,0,0,0
293,293,0,1.0156,-1.94,5.98,0,0,0.00,0.00,0,0,0,0
294,294,0,1.0255,-1.87,5.98,0,0,0.00,0.00,0,0,0,0
295,295,0,1.0303,-3.04,5.98,0,0,0.00,0.00,0,0,0,0
296,296,0,1.0254,-2.36,5.98,0,0,0.00,0.00,0,0,0,0
297,297,0,1.0267,-4.04,5.98,0,0,0.00,0.00,0,0,0,0
298,298,0,1.0312,-1.52,5.98,0,0,0.00,0.00,0,0,0,0
299,299,0,1.0224,-1.01,5.98,0,0,0.00,0.00,0,0,0,0
300,300,0,1.0271,-2.02,5.98,0,0,0.00,0.00,0,0,0,0
301,301,0,1.0259,-1.45,5.98,0,0,0.00,0.00,0,0,0,0
302,302,0,1.0307,-2.97,5.98,0,0,0.00,0.00,0,0,0,0
303,303,0,1.0325,-1.62,5.98,0,0,0.00,0.00,0,0,0,0
304,304,0,1.0332,-1.59,5.98,0,0,0.00,0.00,0,0,0,0
305,305,0,1.0388,-1.75,5.98,0,0,0.00,0.00,0,0,0,0
306,306,0,1.0300,-2.32,5.98,0,0,0.00,0.00,0,0,0,0
307,307,0,1.0254,-1.55,5.98,0,0,0.00,0.00,0,0,0,0
308,308,0,1.0272,-1.84,5.98,0,0,0.00,0.00,0,0,0,0
309,309,0,1.0260,-0.84,5.98,0,0,0.00,0.00,0,0,0,0
310,310,0,1.0235,-1.44,5.98,0,0,0.00,0.00,0,0,0,0
311,311,0,1.0274,-0.67,5.98,0,0,0.00,0.00,0,0,0,0
312,312,0,1.0278,-0.87,5.98,0,0,0.00,0.00,0,0,0,0
313,313,0,1.0185,-1.01,5.98,0,0,0.00,0.00,0,0,0,0
314,314,0,1.0229,-1.14,5.98,0,0,0.00,0.00,0,0,0,0
315,315,0,1.0261,-1.45,5.98,0,0,0.00,0.00,0,0,0,0
316,316,0,1.0140,-1.11,5.98,0,0,0.00,0.00,0,0,0,0
317,317,0,1.0246,-0.85,5.98,0,0,0.00,0.00,0,0,0,0
318,318,0,1.0133,-1.11,5.98,0,0,0.00,0.00,0,0,0,0
319,319,0,1.0167,-1.73,5.98,0,0,0.00,0.00,0,0,0,0
320,320,0,1.0197,-1.31,5.98,0,0,0.00,0.00,0,0,0,0
321,321,0,1.0204,0.16,5.98,0,0,0.00,0.00,0,0,0,0
322,322,0,1.0214,-1.83,5.98,0,0,0.00,0.00,0,0,0,0
323,323,0,1.0178,-1.38,5.98,0,0,0.00,0.00,0,0,0,0
324,324,0,1.0135,-1.61,5.98,0,0,0.00,0.00,0,0,0,0
325,325,0,1.0145,-1.53,5.98,0,0,0.00,0.00,0,0,0,0
326,326,0,1.0163,-1.75,5.98,0,0,0.00,0.00,0,0,0,0
327,327,0,1.0195,-1.19,5.98,0,0,0.00,0.00,0,0,0,0
328,328,0,1.0180,-0.22,5.98,0,0,0.00,0.00,0,0,0,0
329,329,0,1.0209,-0.66,5.98,0,0,0.00,0.00,0,0,0,0
330,330,0,1.0005,-0.27,5.98,0,0,0.00,0.00,0,0,0,0
331,331,0,1.0213,-0.72,5.98,0,0,0.00,0.00,0,0,0,0
332,332,0,1.0117,0.00,5.98,0,0,0.00,0.00,0,0,0,0
333,333,0,1.0101,-0.51,5.98,0,0,0.00,0.00,0,0,0,0
334,334,0,1.0081,-0.29,5.98,0,0,0.00,0.00,0,0,0,0
335,335,0,1.0043,-1.30,5.98,0,0,0.00,0.00,0,0,0,0
336,336,0,1.0043,-1.24,5.98,0,0,0.00,0.00,0,0,0,0
337,337,0,1.0045,-0.75,4.00,0,0,0.00,0.00,0,0,0,1
338,338,0,1.0058,-0.22,4.00,0,0,0.00,0.00,0,0,0,1
339,339,0,1.0080,-0.56,4.00,0,0,0.00,0.00,0,0,0,1
340,340,0,1.0071,0.19,4.00,0,0,0.00,0.00,0,0,0,1
341,341,0,1.0025,0.12,4.00,0,0,0.00,0.00,0,0,0,1
342,342,0,1.0018,-0.53,4.00,0,0,0.00,0.00,0,0,0,1
343,343,0,1.0011,0.58,4.00,0,0,0.00,0.00,0,0,0,1
344,344,0,0.9982,0.25,4.00,0,0,0.00,0.00,0,0,0,1
345,345,0,1.0002,-0.47,4.00,0,0,0.00,0.00,0,0,0,1
346,346,0,1.0018,-1.12,4.00,0,0,0.00,0.00,0,0,0,1
347,347,0,1.0048,-0.46,4.00,0,0,0.00,0.00,0,0,0,1
